name,description,availability,price,discount_price,sku
Logilink CH0038 HDMI 19 Pin Male to Male 3 m,"Connector 1: HDMI (Type A) 19-pin male
Connector 2: HDMI (Type A) 19-pin male
Gold plated contacts
Length 3 meters
Standard: High Speed with Ethernet
480i, 480p, 720p, 1080i, 1080p, 1440p, 2160p
Max Data Transfer: Type A: 8.16 Gbit/s",Out of Stock,€8.00,,logilink-ch0038-hdmi-19-pin-male-to-male-3-m
Baseus USB Bluetooth Adapter BA04,"USB Bluetooth adaptor version 5.0, add Bluetooth to your computer 
Headsets / stereos / gamepads with Bluetooth version 5.0 can be paired to the Bluetooth signal from computer
Enable 10m long distance transmission with stable signals and no delay...",Out of Stock,€8.00,,baseus-usb-bluetooth-adapter-ba04
Arctic Case Fan Hub PWM Sharing Hub for PC fans,"Connections: 4 pin
up to 10 FANs
Power - SATA",Out of Stock,€8.00,,arctic-case-fan-hub-pwm-sharing-hub-for-pc-fans-4895213702522
AV:Link Toslink Optical Lead 2.5m 112.202UK,Type:Optical|Length:2.5m,Out of Stock,€8.09,,av-link-toslink-optical-lead-25m-112202uk
Techlink iWires 2RCA to 2RCA 3.0m 710033,Type:2RCA|Length:3.0m,Out of Stock,€8.09,,techlink-iwires-2rca-to-2rca-30m-710033
Unitek HC Micro HDMI to HDMI Cable 2.0m Y-C182,Type:HDMI Micro|Length:2.0m|Version:2.0,Out of Stock,€8.09,,unitek-hc-micro-hdmi-to-hdmi-cable-20m-y-c182
Unitek Y-C165K HDMI Male to Female 4K/HDR Extension Cable 2m,Type:HDMI|Length:2.0m|Version:2.0|Extension:Yes,Out of Stock,€8.10,,unitek-y-c165k-hdmi-male-to-female-4k-hdr-extension-cable-2m
Unitek Y-C1008 HDMI Right Angle 4K/HDR Cable 270 Degrees 2m,Type:HDMI|Length:2.0m|Version:2.0,Out of Stock,€8.10,,unitek-y-c1008-hdmi-right-angle-4k-hdr-cable-270-degrees-2m
Alcatroz Airmouse3 Wireless Mouse Black Silent,Type:Wireless|Dpi:1200|Wireless Type:2.4GHz|Silent:Yes,Out of Stock,€8.20,,alcatroz-airmouse3-wireless-mouse-black-silent
Unitek HC HDMI to HDMI Flat Cable 3.0m C11063BK-3M,Type:HDMI|Length:3.0m|Version:2.0,Out of Stock,€8.40,,unitek-hc-hdmi-to-hdmi-flat-cable-30m-c11063bk-3m
Verbatim USB Drive 3.0 Pinstripe 32GB Black,Capacity:32GB|Speed:USB 3.0,Out of Stock,€8.49,,verbatim-usb-drive-30-pinstripe-32gb-black
Unitek C1812GBK Flat Patch Cable CAT6 Black 5.0m,Type:Cat6|Conductor:Copper|Length:5.0m|Colour:Black,Out of Stock,€8.50,,unitek-c1812gbk-flat-patch-cable-cat6-black-50m-4894160043627
D-Link Ethernet PCI Adaptor / DFE-530TX,"Easy installation, Plug &amp; Play
Standart and low profile bracket
10/ 100 auto negotiation with rates up to 200 Mbps
Wake on LAN managment",Out of Stock,€8.50,,d-link-ethernet-pci-adaptor-dfe-530tx
PNY Elite 32GB Micro SD Card w/Adapter CLASS10 U1,Capacity:32GB|Recording Quality:FullHD|UHS Speed Class:U1|Speed Class:10,Out of Stock,€8.50,,pny-elite-32gb-micro-sd-card-w-adapter-class10-u1
Unitek Y-C608BK DisplayPort Cable 2.0m,Cable Type:Displayport|Display Port Type:DP to DP|Length:2.0m,Out of Stock,€8.50,,unitek-y-c608bk-displayport-cable-20m
SANDISK flash drive 32GB - USB 3.1 ultra fit,"Memory Capacity 32 GB
Hardware Interface USB 3.1
Read Speed 150 Megabytes Per Second",Out of Stock,€8.50,,sandisk-flash-drive-32gb-usb-31-ultra-fit-
ARCTIC COOLING 8cm F8 PWM PST CO AC CASE FAN,"Perfect Case Fan Regulation with PWM
PWM Sharing Technology (PST) Lowers Noise
Innovative Design Enables Quiet and Efficient Ventilation
Extended Life Span with Japanese Dual Ball Bearing
Two Way installation:
Blow warm air out of the case
Draw...",Out of Stock,€8.50,,arctic-cooling-8cm-f8-pwm-pst-co-ac-case-fan
Unitek USB-C Hub 4port 3xUSB2.0 1xUSB3.0 H1208B,"High Speed Multiport USB Hub up to 5 Gbps . Connect up to 4 USB-A devices simultaneously. UNITEK 4 in 1 USB-C Hub offers data transfer rate up to 5Gbps (3 ports x 480Mbps, 1 port x 5Gbps).


	High Speed Transmission: This USB-C hub features 1...",Out of Stock,€8.54,,unitek-usb-c-hub-4port-3xusb20-1xusb30-h1208b-4894160050106
Unitek UC USB-C 3.0 to Micro-B Cable 1.0m Y-C475BK,No description available,Out of Stock,€8.54,,unitek-uc-usb-c-30-to-micro-b-cable-10m-y-c475bk
Tenda W311MI N150 Pico USB Wi-Fi Adapter,Interface:USB-A|Wi-Fi Speed:150Mbps,Out of Stock,€8.54,,tenda-w311mi-n150-pico-usb-wi-fi-adapter
Unitek VC HDMI to DVI24+1 3.0m Cable Y-C219E,Cable Type:DVI|DVI Port Type:DVI-D to HDMI|Length:3.0m,Out of Stock,€8.54,,unitek-vc-hdmi-to-dvi241-30m-cable-y-c219e
Unitek Y-C421GBK USB 2.0 Cable A-B 5m,Cable Type:USB|USB Type:USB-A to USB-B|USB Version:2.0|Length:5.0m,Out of Stock,€8.55,,unitek-y-c421gbk-usb-20-cable-a-b-5m
Orico HDMI to HDMI HM14 Gold Connectors / 1.5 m,"Material  PVC Two-color Injection Connector
Length   1.5 m
Connector  Gold-plated",Out of Stock,€8.80,,orico-hdmi-to-hdmi-hm14-gold-connectors-15-m
PNY Elite 64GB Micro SD Card With Adapter,Capacity:64GB|Recording Quality:FullHD|UHS Speed Class:U1|Speed Class:10|Waterproof:Yes|Shockproof:Yes,Out of Stock,€8.80,,pny-elite-64gb-micro-sd-card-with-adapter-751492593753
Mouse Logitech B100 black (910-003357),"Connection : Wired USB
3 buttons
800 DPI 
Left or right-handed, this full-size ambidextrous computer mouse",Out of Stock,€8.90,,mouse-logitech-b100-black-910-003357-5099206062863
RJ45 modular plug connector Logilink MP0071 Cat.6A 10G 50pcs,"Unshielded type w. gold plated contacts
For solid wire AWG23 to AWG26
For stranded wire AWG26 to AWG27
Overall jacket OD: 5.5 to 6.5 mm
Set with 50pcs. incl. plug and 2 guide plates",Out of Stock,€8.90,,rj45-modular-plug-connector-logilink-mp0071-cat6a-10g-50pcs
Cougar Speed EX Gaming Mouse Pad,"Model Speed EX-S
Width 260 (mm) / 10.23 (in) 
Length 210 (mm) / 8.26 (in)
Thickness 4 (mm) / 0.15 (in)
Surface Material Cloth
Surface colour Black
Base Material Natural Rubber

Model Speed EX-M
Width 320 (mm) / 12.59 (in)
Length 270 (mm) / 10.62...",Out of Stock,€8.90,,2410-cougar-speed-ex-gaming-mouse-pad-4715302442330
Techlink iWires Optical Cable 1.0m 710211,Type:Optical|Length:1.0m,Out of Stock,€8.99,,techlink-iwires-optical-cable-10m-710211
PNY Attache 4 USB 3.1 Stick 64GB Black,Capacity:64GB|Speed:USB 3.1,Out of Stock,€8.99,,pny-attache-4-usb-31-stick-64gb-black
Imation IRON USB3.0 Stick 128GB,Capacity:128GB|Speed:USB 3.0,Out of Stock,€8.99,,imation-iron-usb30-stick-128gb
Techlink iWires HDMI to HDMI 2.0m 710202,Type:HDMI|Length:2.0m|Version:2.0,Out of Stock,€8.99,,techlink-iwires-hdmi-to-hdmi-20m-710202
Mouse Gamdias zeus E3 with NYX E1,"3600 DPI Optical Sensor
7 smart keys, ZEUS E3
Double-layer Fabrics mouse pad",Out of Stock,€9.00,,mouse-gamdias-zeus-e3-with-nyx-e1
Verbatim Mouse Wired Optical Silent Black,Type:Wired|Dpi:1000,Out of Stock,€9.00,,verbatim-mouse-wired-optical-silent-black
Ugreen DisplayPort to HDMI  Adapter 1080P,"Input: DisplayPort Male
Output: HDMI Female
Resolutions up to 1920x1200 / 1080P (Full HD)
Not included an HDMI cable",Out of Stock,€9.00,,ugreen-displayport-to-hdmi-adapter-1080p-6957303843626
Arctic F12 PWM Case Fan,"120mm F12 PWM CASE FAN
Dimensions: 120 x 120 x 25 mm
Rated Fan Speed: 230 - 1350 RPM
Air Flow: 53 CFM / 90.1 m3/h
Noise Level: 10.0 dB(A) - 23.5.0 dB(A), 0.03 Sone - 0.5
Power Consumption: 12 V, 0.13 Amp.
Weight: 105 g
Bearing: Fluid Dynamic...",Out of Stock,€9.00,,arctic-f12-pwm-case-fan
Orico HDD adapter SATA to USB 3.0 2.5 inch enclosure 2577U3,"USB 3.0 Input
Interface SATA I, II,III
Max Capacity Drive 2 TB
Supported 2.5 inch HDD / SSD",Out of Stock,€9.00,,orico-hdd-adapter-sata-to-usb-30-25-inch-enclosure-2577u3
Cable Logilink CV0120 Display Port 1.4 cord  M/M / 2m,"Connection cable DisplayPort 1.4, 8K/60 Hz, black, 2m
DisplayPort to DisplayPort Cable
Connector 1: DisplayPort 20-pin male
Connector 2: DisplayPort 20-pin male
Transfer of audio and video signals",Out of Stock,€9.00,,cable-logilink-cv0120-display-port-14-cord-mm-2m
Verbatim USB Drive 2.0 Pinstripe 64GB Black,Capacity:64GB|Speed:USB 2.0,Out of Stock,€9.00,,verbatim-usb-drive-20-pinstripe-64gb-black
Natec GOBY 2 USB Numeric Keypad NKL-2022,Type:Wired,Out of Stock,€9.00,,natec-goby-2-usb-numeric-keypad-nkl-2022
AV:link 3.5mm to 2RCA 10.0m 112.068UK,Type:3.5mm to 2RCA|Length:10.0m,Out of Stock,€9.00,,av-link-35mm-to-2rca-100m-112068uk
Natec NPF-0784 Mouse Pad Gel,"Length 235 mm
Width 195 mm
Height 22 mm
Material Rubber, Memory Foam, Fabric",Out of Stock,€9.00,,natec-npf-0784-mouse-pad-gel-5901969402940
CASE FAN ARCTIC COOLING 120 mm black,"FAN Size 120 mm
FAN speed 1500 RPM
Noise Level: 23.5 dB(A)
Connector 3 Pin Molex",Out of Stock,€9.00,,case-fan-arctic-cooling-120-mm-black
TNB USB 3.0 mini SD,"USB 3.0 mini memory Card Reader
Transfer Speed Up to 5 GB/s
Compatible with SD, mini SD, SDXC, MMC, RS MMC",Out of Stock,€9.00,,tnb-usb-30-mini-sd-4046624814100
Snowman 6pin rgb fan controller,"Connections: 6 pin
up to 10 FANs
Remote control
RGB support",Out of Stock,€9.00,,snowman-6pin-rgb-fan-controller
Epson Maintenance box C9344 (C12C934461),"Compatible models Epson All in One  for Home : XP-4100, XP-4105; XP-4200, XP-4205; ET-4810
For work and business models: WF-2850,WF-2830; WF-2950, WF-2930; ET-2840",Out of Stock,€9.00,,epson-maintenance-box-c9344-c12c934461
Unitek C1896BK-5M CAT6 M-F Extension Cable 5.0m,Type:Cat6|Conductor:Copper|Length:5.0m|Colour:Black,Out of Stock,€9.02,,unitek-c1896bk-5m-cat6-m-f-extension-cable-50m
Unitek Y-5118AA DisplayPort to DVI-Female Adaptor,Input:Displayport|DVI Output:Yes,Out of Stock,€9.49,,unitek-y-5118aa-dvi-female-to-displayport-adaptor-black-4894160010452
Natec SHRIMP Protective Travel Case,No description available,Out of Stock,€9.49,,natec-shrimp-protective-travel-case
Unitek SC Serial to Serial DB9 RS232 1.5m Y-C702ABK,Cable Type:Serial|Length:1.5m,Out of Stock,€9.49,,unitek-sc-serial-to-serial-db9-rs232-15m-y-c702abk
Unitek SC Serial to Serial RS232 M-F Extension 1.5m...,Cable Type:Serial|Length:1.5m,Out of Stock,€9.49,,unitek-sc-serial-to-serial-rs232-m-f-extension-15m-y-c706abk
Kuwes Ethernet Cable CAT6 Grey CU 5.0m,Type:Cat6|Conductor:Copper|Length:5.0m|Colour:Grey,Out of Stock,€9.50,,kuwes-ethernet-cable-cat6-grey-cu-50m
TP-Link TL-WN823N Wi-Fi USB adapter 300 Mbps,"Product code: Adapter
Type: Wireless
WPS Button
specification: USB 2.0 and  Wireless N speed up to 300Mbps
Warranty : 3 years",Out of Stock,€9.50,,tp-link-tl-wn823n-wi-fi-usb-adapter-300-mbps-6935364050696
Wi-fi adapter D-Link N300 Nano USB DWA-131,"Wireless N speed up to 300Mbps
1 x 1dBi band
WPS Button",Out of Stock,€9.65,,wi-fi-adapter-d-link-n300-nano-usb-dwa-131
Lanberg NT-0202 Crimping Tool RJ11/RJ12/RJ45,"Lanberg’s crimping tool NT-0202 is an essential product intended for any installer, who has, on a daily basis, contact with the ICT and telecommunications network wiring. This device (with its double arms) can be used for crimping all kinds of...",Out of Stock,€9.70,,lanberg-nt-0202-crimping-tool-rj11-rj12-rj45
CASE FAN ARCTIC 12cm F12 PWM WHITE,"Fan Size:120 x 120 mm
Fan Height:25 mm
Rotation Speed:200-1800 rpm",Out of Stock,€9.70,,case-fan-arctic-12cm-f12-pwm-white
Verbatim USB 3.2 V3 32GB,"32GB Storage 
USB 3.2
Black",Out of Stock,€9.90,,verbatim-usb-32-v3-32gb-023942491736
Wireless USB adapter TP-LINK TL-WN725N V3 150Mbps,"Product code: Adapter
Type: Wireless
specification: USB 2.0 and  Wireless N speed up to 150Mbps
Warranty: 3 years",Out of Stock,€9.90,,wireless-usb-adapter-tp-link-tl-wn725n-v3-150mbps
G&G Compatible for HP 933XL Cyan,G&amp;G.SEINE.HP.933XL.C.CN054AE.OJ 6100/6600/6700/7100/7110,Out of Stock,€9.90,,gg-compatible-for-hp-933xl-cyan
SanDisk Ultra MicroSDXC 32 GB,"Memory Capacity: 32GB
Video Speed: C10
Form Factor: microSDHC
Read Speed: up to 98MB/s",Out of Stock,€9.90,,sandisk-ultra-microsdxc-32-gb-619659123048
Transcend Jetflash 700 32 GB USB flash drive,"USB 3.1 Gen 1 interface
Sturdy structure &amp; smooth surface
Exclusive Transcend Elite data management software",Out of Stock,€9.90,,transcend-jetflash-700-32-gb-usb-flash-drive-0760557819448
Unitek Y-C179 Mini HDMI to HDMI 4K/HDR Cable 2m,Type:HDMI Mini|Length:2.0m|Version:2.0,Out of Stock,€9.90,,unitek-y-c179-mini-hdmi-to-hdmi-4k-hdr-cable-2m
Verbatim USB Drive 3.0 Pinstripe 64GB Black,Capacity:64GB|Speed:USB 3.0,Out of Stock,€9.99,,verbatim-usb-drive-30-pinstripe-64gb-black
Armaggeddon Neuron Aurora RGB Ring 1 Fan,Type:Fan|LED TYPE:Single|Color:RGB,Out of Stock,€9.99,,armaggeddon-neuron-aurora-rgb-ring-1-fan
PNY Attache 4 USB 2.0 Stick 128GB Black,Capacity:128GB|Speed:USB 2.0,Out of Stock,€9.99,,pny-attache-4-usb-20-stick-128gb-black
Orico 2.5 inch 9.5 mm SATA SSD HDD Caddy L95SS,"This Hard Drive Adapter lets you add a second hard drive to the laptop systems

Support hard disk: 2.5 inch HDD,SSD
Caddy High 9.5mm
Case Material: Aluminum
Interface: SATA",Out of Stock,€10.00,,orico-25-inch-95-mm-sata-ssd-hdd-caddy-l95ss-6936761846301
Patch cord ethernet cable Cat 6 UTP 10 m,"UTP CAT 6 250MHz Bulk cable
Connector RJ-45 metallic
Jacket Material: Double sheath, PVC Inner Sheath
UV PVC Outer Sheath
12 m Lenght",Out of Stock,€10.00,,patch-cord-ethernet-cable-cat-6-utp-10-m
Transced MicroSD card 16GB,"Capacity: 16GB
Class 10
Warranty 5 Year",Out of Stock,€10.00,,transced-microsd-card-16gb
Kingston 32 GB / Class 10 / 80 MB/s,"Capacity: 32GB
Class 10
Adapter in pack
HD Video Support",Out of Stock,€10.00,,kingston-32-gb-class-10-80-mb-s-740617274707
PNY Pro Elite 64GB Micro SD w/Adapter CLASS10 U3,Capacity:64GB|Recording Quality:4K|UHS Speed Class:U3|Speed Class:10|Waterproof:Yes|Shockproof:Yes,Out of Stock,€10.00,,pny-pro-elite-64gb-micro-sd-w-adapter-class10-u3
Intel Standart CPU Cooler for i3-12100,"Socket: LGA 1700
Standart boxed cooler
120 mm FAN
Support Intel core i3 12 gen
TDP 65 W",Out of Stock,€10.00,,intel-standart-cpu-cooler-for-i3-12100
PCI Express Card ORICO NVME m.2 PSM2,"Input port: m.2 NVMe
Output port: PCI-e 3.0 Gen3 X4 (compatible with mainboard X4/X8/X16 slots)
Supported system : windows 10, iOS, Linux",Out of Stock,€10.00,,pci-express-card-orico-nvme-m2-psm2
Loctek PSW698SSF Universal Fixed TV Wall Mount,"Universal Fixed TV Wall Mount PSW698SSF
TV Size:17-42''
Vesa:200X200
Loading capacity:20Kg
Wall Distance:25mm",Out of Stock,€10.00,,loctek-psw698ssf-universal-fixed-tv-wall-mount-
Switch HIKVISION 8 Port Fast Ethernet Unmanaged /...,"8 x 10/100 Mbps ethernet portsSupports ADI/ADIXStore-and-forward switchingSupports MAC address auto-learning and agingSupports desktop and wall-mountingPlug &amp; play, easy to use",Out of Stock,€10.00,,switch-hikvision-8-port-fast-ethernet-unmanaged-ds-3e0108d-e
HP Wired Mouse 100 6VY96AA,"Color: Black
Compatibility: Available USB port.
Compatible operating systems: Windows 7; Windows 8; Windows 10 and above
Dimensions:  (W X D X H) 3.94 x 2.3 x 1.56 in",Out of Stock,€10.00,,hp-wired-mouse-100-6vy96aa
Unitek C1811EBK CAT7 SSTP Pure Copper Ethernet Cable 3.0m...,Type:Cat7|Conductor:Copper|Length:3.0m|Colour:Black,Out of Stock,€10.36,,unitek-c1811ebk-cat7-sstp-pure-copper-ethernet-cable-30m-black-4894160038685
Unitek S1103A USB3.1 2.5'' Hard Disk Transparent Enclosure,"Size:2.5""|Housing Material:Plastic|Transfer Speed:USB3.1 5Gbps",Out of Stock,€10.44,,unitek-s1103a-usb31-25-hard-disk-transparent-enclosure-4894160136759
Unitek MC USB-C to USB-A 3.0 Cable 3.0m C14103BK-3M,Cable Type:USB|Connectivity:USB-A to Type-C|Length:3.0m|USB Type:USB-A to USB-C|USB Version:3.0,Out of Stock,€10.44,,unitek-mc-usb-c-to-usb-a-30-cable-30m-c14103bk-3m
Lanberg NT-0808 Ratchet Screwdriver with Extension Bar Set,No description available,Out of Stock,€10.45,,lanberg-nt-0808-ratchet-screwdriver-with-extension-bar-set
Trust GXT IZZA 105 Gaming 21683,"Cord Optical Mouse
Sensitivy: 800-2400 DPI
Number of buttons: 6
Connection: wired
Warranty: 2 years",Out of Stock,€10.50,,trust-gxt-izza-105-gaming-21683-8713439216837
Baseus VA Wireless Laser Presenter ORANGE DOT Rechargeable,"Brand Baseus
Name Orange Dot Wireless Presenter
Model WKCD00013
Material ABS + PC
Wireless connection RF2.4GHz
Laser pointer distance Up to 100m
Remote control distance Up to 50m
Battery capacity 250mAh
Working time Up to 90 days
Charging time...",Out of Stock,€10.50,,baseus-va-wireless-laser-presenter-orange-dot-rechargeable-5099206027282
Unitek Y-C505G VGA to VGA Cable 5.0m,Cable Type:VGA|Ferrite:Yes|Length:5.0m,Out of Stock,€10.50,,unitek-y-c505g-vga-to-vga-cable-50m
Mercury IEC Extension Lead 5.0m Bag 114.057UK,Type:IEC extension|Length:5.0m,Out of Stock,€10.50,,mercury-iec-extension-lead-50m-bag-114057uk
External enclosure Logilink UA0256 2.5 inch SSD HDD SATA...,"Suitable for 2.5"" SATA HDD/SSD
SATA III interface with up to 6 Gbit/s data transfer
USB 3.0 Micro-USB female connector with up to 5 Gbit/s
Plug-and-play – no driver installation needed
Include cable in package",Out of Stock,€10.50,,external-enclosure-logilink-ua0256-25-inch-ssd-hdd-sata-usb-30-4052792038286
Techlink iWiresPRO 2RCA to 2RCA Cable 1.0m 711031,Type:2RCA|Length:1.0m,Out of Stock,€10.79,,techlink-iwirespro-2rca-to-2rca-cable-10m-711031
Unitek Y-C166K HDMI Male to Female 4K/HDR Extension Cable 3m,Type:HDMI|Length:3.0m|Version:2.0|Extension:Yes,Out of Stock,€10.80,,unitek-y-c166k-hdmi-male-to-female-4k-hdr-extension-cable-3m
PNY Elite Steel USB 3.1 Stick 32GB,Capacity:32GB|Speed:USB 3.1|Metal Housing:Yes,Out of Stock,€10.99,,pny-elite-steel-usb-31-stick-32gb
D-link Patch cord Cat 6 UTP 15 m Network Ethernet Cable,"UTP CAT 6 250MHz Bulk cable
Connector RJ-45 metallic
Jacket Material: Double sheath, PVC Inner Sheath
UV PVC Outer Sheath",Out of Stock,€11.00,,d-link-patch-cord-cat-6-utp-15-m-network-ethernet-cable
HP Wired Mouse 1000,"Color: Black
Compatibility: Available USB port.
Compatible operating systems: Windows 7; Windows 8; Windows 10 and above
Dimensions:  (W X D X H) 3.94 x 2.3 x 1.56 in",Out of Stock,€11.00,,hp-wired-mouse-1000
Mini Keyboard I8 wireless with Touchpad and LED,"Wireless Bluetooth: 2.4GHz
TouchPad:Yes
Backlit : Yes",Out of Stock,€11.00,,mini-keyboard-i8-wireless-with-touchpad-and-led
Mercury Fig8 Power Cable 10.0m Bag 114.039UK,Type:Figure8|Length:10.0m,Out of Stock,€11.00,,mercury-fig8-power-cable-100m-bag-114039uk
Armaggeddon Scorpion 5 Pro-Gaming Mouse with Free Mousepad,Mouse Type:Wired|Type:Wired|Dpi:4800|Extras:RGB customizable lights|Light FX:Yes,Out of Stock,€11.00,,armaggeddon-scorpion-5-pro-gaming-mouse
Armaggeddon Scorpion 3 Pro-Gaming Mouse with Free Mousepad,Mouse Type:Wired|Type:Wired|Dpi:4800|Extras:RGB customizable lights|Light FX:Yes,Out of Stock,€11.00,,armaggeddon-scorpion-3-pro-gaming-mouse-8886411983116
Unitek C11060BK-1M 8K HDMI 2.1 120Hz Cable 1.0m,Type:HDMI|Length:1.0m|Version:2.1,Out of Stock,€11.00,,unitek-c11060bk-1m-8k-hdmi-21-120hz-cable-10m
Tenda Ethernet Switch 10/100 5-Port S105,"10/100 MBit/s Fast Ethernet SwitchLAN Ports: 5 x 10/100 MBit/sCompact DesignProtocols: IEEE 802.3, 802.3uSupports: Auto-MDI/MDIX",Out of Stock,€11.00,,tenda-ethernet-switch-10100-5-port-s105
Natec NAUTILUS Wired Keyboard Black,Type:Wired,Out of Stock,€11.00,,natec-nautilus-wired-keyboard-black
Liquid Metal be quiet DC2 pro BZ005,"Type: Metal liquid
Thermal conductivity (W/mK) 80
Temperature range (°C) 20 - 200
Compatible be quiet! coolers all",Out of Stock,€11.00,,liquid-metal-be-quiet-dc2-pro-bz005-4260052189603
A4Tech KR-85 Keyboard,"Wired Keyboard
Ultra slim profile
USB Interface
Ideal for fast typing",Out of Stock,€11.20,,a4tech-kr-85-keyboard-4711421802116
Unitek Y-277 USB2.0 USB-A Male to USB-A Female Active...,Cable Type:USB|USB Type:USB-A to USB-A Extension|USB Version:2.0|Active Cable:Yes|Length:5.0m,Out of Stock,€11.39,,unitek-y-277-usb20-usb-a-male-to-usb-a-female-active-extension-cable-5m
Unitek C14086BK USB3.2 USB-C Male to USB-C Female...,Cable Type:USB|Connectivity:USB-C to USB-C|Length:0.5m|USB Type:USB-C to USB-C Extension|USB Version:3.2,Out of Stock,€11.40,,unitek-c14086bk-usb32-usb-c-male-to-usb-c-female-extension-cable-pd100w-50cm-4894160045959
Unitek Converter HDMI to VGA Adapter Cable 2 m,"Type: HDMI to VGA
Length 2 m",Out of Stock,€11.50,,unitek-converter-hdmi-to-vga-adapter-cable-2-m-4894160052520
Swith 8 Port D-link 10/100Mbps DES-1008A,"Product: Switch
Type: Unmanaged
 Full/half-duplex and Plug-and-play installation
Warranty: 2 years",Out of Stock,€11.50,,swith-8-port-d-link-10100mbps-des-1008a-790069335044
Unitek Y-C136RGY Premium HDMI 2.0 Braided Cable 1.0m,Type:HDMI|Length:1.0m|Version:2.0|Braided:Yes,Out of Stock,€11.69,,unitek-y-c136rgy-premium-hdmi-20-braided-cable-10m
Techlink iWires HDMI to HDMI 3.0m 710203,Type:HDMI|Length:3.0m|Version:2.0,Out of Stock,€11.69,,techlink-iwires-hdmi-to-hdmi-30m-710203
Case FAN Be Quiet PURE WINGS 2 120 mm BL080,"FAN Size: 120 mm
Fan Speed max 2000 RPM
Connectivity: 3-Pin 
Warranty: 1 Year",Out of Stock,€11.80,,case-fan-be-quiet-pure-wings-2-120-mm-bl080
iCable VGA 6+2P Individual Sleeved Extension Cable White,"Material: Heavy Duty Nylon Sleeve
Wire Gauge: 16 AWG Copper
Terminal: High Conductivity Copper",Out of Stock,€11.90,,icable-vga-62p-individual-sleeved-extension-cable-white-4713436747499
Display Port to HDMI DP 1.2 TO HDMI ADAPTER LOGILINK CV0057,"Supports 20-pin DisplayPort
Max. resolution: 1920 x 1080
Video-bandwith up to 10.8 Gbit/s
Gold-plated contracts",Out of Stock,€11.90,,display-port-to-hdmi-dp-12-to-hdmi-adapter-logilink-cv0057
iCable CPU 4+4P Individual Sleeved Extension Cable White,"Material: Heavy Duty Nylon Sleeve
Wire Gauge: 16 AWG Copper
Terminal: High Conductivity Copper",Out of Stock,€11.90,,icable-cpu-44p-individual-sleeved-extension-cable-white-4713436747444
PNY Elite Steel USB 3.1 Stick 64GB,Capacity:64GB|Speed:USB 3.1|Metal Housing:Yes,Out of Stock,€11.99,,pny-elite-steel-usb-31-stick-64gb
Case FAN Snowman BM-MK120 Molex  black,"FAN Size 120 mm
FAN speed : 800-1600 RPM
Air Flow: 45 CFM
Noise Level: 19 dB
Connectors: 3 pin; Molex",Out of Stock,€12.00,,case-fan-snowman-bm-mk120-molex-black
Cable Vention DisplayPort Cable to HDMI 4K 30Hz 2 m,"DisplayPort male plug to HDMI male plug
With audio support
Compatible to the DisplayPort 1.1 specifications",Out of Stock,€12.00,,cable-vention-displayport-cable-to-hdmi-4k-30hz-2-m
Alcatroz Airmouse Duo 5X Wireless/BT Mouse White,Type:Wireless|Dpi:1600|Wireless Type:2.4GHz+Bluetooth|Silent:Yes,Out of Stock,€12.00,,alcatroz-airmouse-duo-5x-wireless-bt-mouse-white
Alcatroz AIRMOUSE DUO 3 Wireless/BT Silent Mouse Black,Type:2.4GHz+Bluetooth|Dpi:12000|Silent:Yes,Out of Stock,€12.00,,alcatroz-airmouse-duo-3-wireless-bt-silent-mouse-black
Case FAN Snowman CK120 ARGB white,"FAN Size 120 mm
FAN speed : 800-1600 RPM
Air Flow: 38 CFM
Noise Level: 20 dB
Connectors: 4 pin PWM +  RGB (3 pin)",Out of Stock,€12.00,,case-fan-snowman-ck120-argb-white
Case FAN Snowman CK120 ARGB black,"FAN Size 120 mm
FAN speed : 800-1600 RPM
Air Flow: 38 CFM
Noise Level: 20 dB
Connectors: 4 pin PWM + 3 pin",Out of Stock,€12.00,,case-fan-snowman-ck120-argb-black
Orico Tools Scredriver Set 24in1 ST1,"Material: Alloy Steel
Specification: 24-in-one (24 Heads / One Handle)",Out of Stock,€12.00,,orico-tools-scredriver-set-24in1-st1
EDIMAX SWITCH ES-3305P 5 port,"Number of Ports: 5
Port Connector: RJ-45
Network/Transport Protocol: TCP/IP CSMA/CD
Warranty: 24 Month
P/N: 1730502085",Out of Stock,€12.00,,edimax-switch-es-3305p-5-port-6935364020064
All in one card reader Wintech CR-10,"Compatible with the USB 2.0 and USB 1.1 standart
Flash
Supports SDHC
2 Panel included (Silver, Black)
Uses power from USB
No power supply necessary USB Strom-Aufnahme DC+5V",Out of Stock,€12.00,,all-in-one-card-reader-wintech-cr-10-4046624814100
Unitek Y-C140M Premium 100% Copper HDMI Cable 5.0m,Type:HDMI|Length:5.0m|Version:1.4,Out of Stock,€12.00,,unitek-y-c140m-premium-100-copper-hdmi-cable-50m
ADATA USB FLASH DRIVE 128GB AUV128-128G-RBE,"Connection: USB 3.2
Storage Capacity: 128 GB
Warranty: 5 Year",Out of Stock,€12.00,,-adata-usb-flash-drive-128gb-auv128-128g-rbe
SPIRAL WRAPPING BAND 10 m 59946L,"Length: 10m
Spiral Band width: 11.4mm
Inner diameter: 7.5mm, outer diameter: 10mm",Out of Stock,€12.00,,spiral-wrapping-band-10-m-59946l-
